TCS #, Main , Midblock Route , Side 1 Route , Side 2 Route ,Activation Date,Latitude,Longitude,Count Date,8 Peak Hr Vehicle Volume,8 Peak Hr Pedestrian Volume
30, YONGE ST ,, WELLINGTON ST ,,01/06/1964,43.647848400,-79.377351000,05-06-2014,13620,26656
31, YONGE ST ,, KING ST ,,11/03/1927,43.649162400,-79.377904000,09-17-2016,10911,14579
32, YONGE ST ,, ADELAIDE ST ,,01/10/1928,43.650419000,-79.378436000,09-17-2016,12454,11224
33, YONGE ST ,, RICHMOND ST ,,11/03/1927,43.651697000,-79.378965000,09-17-2016,9390,19530
34, YONGE ST ,, QUEEN ST ,,11/03/1927,43.652420900,-79.379276000,09-17-2016,10956,21936
35, YONGE ST ,, SHUTER ST ,,03/12/1959,43.654066000,-79.379957000,01-17-2017,9525,15491
36, YONGE ST ,, DUNDAS ST ,,04/04/1927,43.656326000,-79.380912000,04-11-2015,10925,34615
37, YONGE ST ,, GERRARD ST ,,07/09/1929,43.659089700,-79.382096000,11-05-2016,10019,21562
38, YONGE ST ,, CARLTON ST , COLLEGE ST ,02/18/1932,43.661368700,-79.383094000,05-05-2014,13438,32030
39, YONGE ST ,, WELLESLEY ST ,,09/30/1948,43.664935100,-79.384558000,11-05-2016,9051,19591
40, BLOOR ST ,, YONGE ST ,,08/28/1925,43.670229000,-79.386767000,01-11-2018,14398,23335
41, YONGE ST ,, CHURCH ST , DAVENPORT RD ,12/03/1932,43.672879000,-79.387845000,11-05-2016,15532,7870
42, YONGE ST ,, AYLMER AVE , BELMONT ST ,11/19/1963,43.675602800,-79.388950000,11-12-2016,13870,3434
43, YONGE ST ,, CRESCENT RD ,,10/16/1957,43.676976200,-79.389534000,11-12-2016,10193,3758
44, YONGE ST ,, MACPHERSON AVE , ROWANWOOD AVE ,04/10/1948,43.679139200,-79.390424000,04-25-2012,15632,4127
45, YONGE ST ,, SHAFTESBURY AVE , ALCORN AVE ,12/05/1955,43.682022600,-79.391574000,05-06-2014,14363,6199
46, YONGE ST ,, ST CLAIR AVE ,,04/05/1927,43.688075000,-79.394098000,05-03-2014,20437,10303
47, YONGE ST ,, CHAPLIN CRES , DAVISVILLE AVE ,06/14/1930,43.698297700,-79.396601000,01-24-2018,19703,18330
48, YONGE ST ,, MANOR RD ,,12/11/1956,43.702508000,-79.397458000,08-19-2009,14040,3776
49, YONGE ST ,, EGLINTON AVE ,,08/21/1929,43.706750100,-79.398311000,05-03-2014,23360,20902
50, YONGE ST ,, BROADWAY AVE , MONTGOMERY AVE ,02/12/1957,43.709554000,-79.398943000,05-03-2014,16937,14176
51, YONGE ST ,, CASTLEFIELD AVE ,,08/21/1929,43.711855100,-79.399437000,07-10-2012,15456,3080
52, YONGE ST ,, BLYTHWOOD RD , LYTTON BLVD ,08/12/1954,43.716605000,-79.400452000,04-23-2012,19891,1438
53, YONGE ST ,, GLENGROVE AVE ,,07/06/1961,43.719554400,-79.401090000,08-19-2009,14632,1311
54, YONGE ST ,, CHATSWORTH DR , ST EDMUNDS DR ,07/17/1930,43.721971000,-79.401557000,04-27-2011,18003,1409
55, YONGE ST ,, LAWRENCE AVE ,,01/03/1941,43.725103100,-79.402193000,10-03-2017,24489,9198
56, YONGE ST ,, RANLEIGH AVE ,,08/24/1929,43.727864200,-79.402930000,06-27-2011,18308,5040
57, YONGE ST ,, FAIRLAWN AVE ,,08/29/1956,43.730913000,-79.403788000,05-06-2014,19161,3893
58, YONGE ST ,, YONGE BLVD , PRIVATE ACCESS ,10/12/1955,43.734367700,-79.404585000,05-05-2014,24567,2215
59, BAY ST ,, FRONT ST W ,,09/18/1928,43.645996000,-79.379115000,04-22-2009,18965,17115
60, BAY ST ,, WELLINGTON ST W ,,09/28/1928,43.647345000,-79.379702000,08-12-2009,16188,32319
61, BAY ST ,, KING ST W ,,11/03/1927,43.648653000,-79.380268000,11-10-2016,15543,47561
62, BAY ST ,, ADELAIDE ST W ,,09/26/1928,43.649876000,-79.380823000,11-10-2016,16489,28424
63, BAY ST ,, RICHMOND ST W ,,12/30/1930,43.651224400,-79.381452000,11-10-2016,10403,26445
64, BAY ST ,, QUEEN ST W ,,11/03/1927,43.651890000,-79.381698000,11-10-2016,15397,20612
65, BAY ST ,, ALBERT ST ,,11/22/1948,43.652965200,-79.382631000,11-10-2016,9430,9629
66, DUNDAS ST W ,, BAY ST ,,06/28/1928,43.655721000,-79.383734000,04-13-2015,16598,31918
67, BAY ST ,, GERRARD ST W ,,04/07/1941,43.658496000,-79.384865000,07-23-2009,19660,12211
68, BAY ST ,, COLLEGE ST ,,01/28/1928,43.660813800,-79.385857000,07-19-2011,17491,24779
69, BAY ST ,, WELLESLEY ST W ,,12/30/1930,43.664366000,-79.387151000,11-10-2016,16636,18418
70, BAY ST ,, BLOOR ST W ,,07/21/1928,43.669701000,-79.389468000,01-11-2018,19112,29629
71, YORK ST ,, WELLINGTON ST W ,,06/22/1928,43.646638300,-79.383007000,06-21-2017,5575,32338
72, KING ST W ,, YORK ST ,,11/03/1927,43.647933800,-79.383531000,11-10-2016,12474,20091
73, YORK ST ,, ADELAIDE ST W ,,11/06/1928,43.649196000,-79.384074000,07-27-2010,14130,9142
74, YORK ST ,, RICHMOND ST W ,,11/06/1928,43.650500500,-79.384620000,01-18-2017,9677,11122
75, UNIVERSITY AVE ,, YORK ST , FRONT ST W ,06/14/1928,43.645291000,-79.382476000,09-17-2016,16857,17564
76, UNIVERSITY AVE ,, WELLINGTON ST W ,,02/17/1932,43.646405400,-79.384076000,04-20-2015,18390,18152
77, UNIVERSITY AVE ,, KING ST W ,,02/15/1932,43.647655300,-79.384788000,09-17-2016,16694,8406
78, UNIVERSITY AVE ,, ADELAIDE ST W ,,12/02/1932,43.648857000,-79.385480000,09-17-2016,20740,5715
79, UNIVERSITY AVE ,, RICHMOND ST W ,,02/15/1932,43.650139600,-79.386240000,09-17-2016,20727,5525
80, UNIVERSITY AVE ,, QUEEN ST W ,,05/15/1932,43.650827000,-79.386628000,09-17-2016,23078,10824
81, UNIVERSITY AVE ,, DUNDAS ST W ,,06/28/1928,43.654812000,-79.388484000,11-10-2016,30191,28927
82, UNIVERSITY AVE ,, ELM ST ,,06/17/1958,43.656323000,-79.388959000,11-10-2016,26595,17276
83, UNIVERSITY AVE ,, COLLEGE ST ,,06/28/1928,43.659847400,-79.390490000,01-21-2017,20732,12177
84, QUEENS PARK CRES E ,, WELLESLEY ST W ,,07/26/1950,43.663609800,-79.390626000,11-09-2016,15472,5941
85, QUEENS PARK CRES E , 125m NORTH OF , ST JOSEPH ST ,,11/24/1947,43.665935300,-79.391879000,12-08-2009,12427,1217
86, AVENUE RD ,, BLOOR ST W ,,07/21/1928,43.668685000,-79.394119000,01-11-2018,24059,14885
87, EGLINTON AVE E ,, BRENTCLIFFE RD ,,07/04/1966,43.714583800,-79.359791000,03-16-2011,26029,1107
88, EGLINTON AVE E ,, LAIRD DR ,,01/31/1958,43.713573000,-79.364752000,04-22-2017,19362,2018
89, EGLINTON AVE E ,, RUMSEY RD ,,12/29/1958,43.712562700,-79.369606000,03-21-2012,18995,716
90, EGLINTON AVE E ,, BAYVIEW AVE ,,03/21/1960,43.711056000,-79.377114000,03-29-2012,30378,2880
91, EGLINTON AVE E ,, BANFF RD ,,08/10/1953,43.710009300,-79.382221000,07-28-2010,16885,841
92, MOUNT PLEASANT RD ,, EGLINTON AVE E ,,06/29/1939,43.708416600,-79.390153000,01-09-2017,20734,6602
93, EGLINTON AVE E ,, REDPATH AVE ,,05/30/1961,43.707866900,-79.392790000,08-25-2009,14372,6034
94, EGLINTON AVE W ,, DUPLEX AVE ,,10/04/1953,43.706345800,-79.400252000,10-29-2012,15743,1967
95, EGLINTON AVE W ,, ORIOLE PKWY ,,12/24/1954,43.705106800,-79.406125000,10-29-2012,13295,488
96, AVENUE RD ,, EGLINTON AVE W ,,01/08/1937,43.704610400,-79.408474000,10-15-2012,26329,3717
97, EGLINTON AVE W ,, HEDDINGTON AVE ,,12/20/1952,43.703476100,-79.413880000,04-18-2011,14096,2607
98, EGLINTON AVE W ,, CHAPLIN CRES ,,01/01/1967,43.702713100,-79.417444000,10-15-2012,19751,1037
99, EGLINTON AVE W ,, SPADINA RD ,,08/09/1976,43.702361100,-79.419081000,10-29-2012,20620,416
100, BATHURST ST ,, EGLINTON AVE W ,,01/01/1967,43.700975700,-79.425534000,04-11-2015,20547,2504
101, EGLINTON AVE W ,, GLEN CEDAR RD , OLD PARK RD ,07/10/1968,43.699824800,-79.430961000,07-09-2013,15770,783
102, EGLINTON AVE W ,, MARLEE AVE ,,02/12/1959,43.698048000,-79.439379000,10-30-2012,17430,1355
103, EGLINTON AVE W ,, OAKWOOD AVE ,,01/31/1958,43.697293200,-79.442789000,10-29-2012,17171,3006
104, EGLINTON AVE W ,, NORTHCLIFFE BLVD ,,01/31/1958,43.696242000,-79.447688000,01-10-2018,7308,2900
105, DUFFERIN ST ,, EGLINTON AVE W ,,11/13/1963,43.695684000,-79.450293000,04-18-2016,22212,8427
106, EGLINTON AVE W ,, ENNERDALE RD ,,01/31/1958,43.694985000,-79.453476000,03-21-2012,9802,3069
107, AVENUE RD , 30m NORTH OF , ELGIN AVE ,,12/09/1989,43.672136000,-79.395624000,10-18-2016,14811,2673
108, AVENUE RD ,, DAVENPORT RD ,,11/03/1932,43.674705000,-79.396651000,11-10-2016,31510,4661
109, AVENUE RD ,, DUPONT ST ,,07/25/1950,43.677190000,-79.397579000,08-04-2010,16518,642
110, AVENUE RD ,, COTTINGHAM ST ,,11/19/1948,43.679547500,-79.398550000,01-24-2012,18929,662
111, AVENUE RD ,, BALMORAL AVE ,,03/02/1953,43.684324100,-79.400495000,11-02-2015,23332,1605
112, ST CLAIR AVE W ,, AVENUE RD ,,08/26/1929,43.686624000,-79.401479000,04-18-2016,29303,4696
113, AVENUE RD ,, LONSDALE RD , ORIOLE PKWY ,01/17/1964,43.690773000,-79.403027000,04-16-2016,19162,807
114, ORIOLE PKWY ,, GORMLEY AVE ,,01/28/1957,43.693729700,-79.401852000,04-13-2016,19054,195
115, ORIOLE PKWY ,, CHAPLIN CRES ,,07/28/1950,43.697879800,-79.403231000,04-18-2016,14555,716
116, AVENUE RD ,, CHAPLIN CRES ,,09/12/1948,43.698761000,-79.406076000,04-11-2012,19127,601
117, AVENUE RD ,, ST CLEMENTS AVE ,,06/20/1946,43.710333000,-79.411119000,01-15-2013,18012,970
118, AVENUE RD ,, GLENGROVE AVE W ,,09/24/1948,43.716960000,-79.413444000,04-06-2017,22274,416
119, AVENUE RD ,, LAWRENCE AVE W ,,01/31/1958,43.722240100,-79.415589000,09-04-2013,27712,2674
120, AVENUE RD ,, FAIRLAWN AVE ,,01/31/1958,43.727900000,-79.417894000,01-23-2012,20920,1089
121, AVENUE RD ,, BROOKE AVE ,,01/31/1958,43.733200000,-79.419510000,01-19-2010,22365,1366
122, AVENUE RD ,, DUNBLAINE AVE ,,07/18/1957,43.735910300,-79.420100000,12-14-2010,16556,638
123, AVENUE RD ,, WILSON AVE ,,01/31/1958,43.739862700,-79.421636000,09-04-2013,33867,1383
124, YONGE ST ,, YORK MILLS RD , WILSON AVE ,01/31/1958,43.744121000,-79.406724000,05-26-2010,38102,1068
125, YONGE ST ,, SHEPPARD AVE ,,01/31/1958,43.761514400,-79.410903000,05-18-2016,38219,12257
126, YONGE ST ,, EMPRESS AVE , PARK HOME AVE ,01/29/1959,43.769294500,-79.412931000,05-18-2016,21274,11387
127, YONGE ST ,, CHURCH AVE , CHURCHILL AVE ,07/27/1960,43.773798000,-79.414034000,05-18-2016,20746,5164
128, YONGE ST ,, FINCH AVE ,,01/31/1958,43.779790000,-79.415560000,05-07-2014,29978,13027
129, YONGE ST ,, CUMMER AVE , DREWRY AVE ,01/31/1958,43.787080400,-79.417327000,09-27-2016,28482,2794
130, YONGE ST ,, MADAWASKA AVE , MOORE PARK AVE ,01/31/1958,43.793814500,-79.418991000,05-07-2014,25570,1461
131, YONGE ST ,, STEELES AVE ,,01/31/1958,43.798049000,-79.420064000,10-08-2013,42005,6483
132, MOUNT PLEASANT RD ,, ELM AVE ,,02/06/1950,43.674577500,-79.380161000,11-01-2016,15595,1057
133, MOUNT PLEASANT RD ,, INGLEWOOD DR ,,05/19/1950,43.688319600,-79.383542000,01-17-2017,16844,493
134, MOUNT PLEASANT RD ,, ST CLAIR AVE E ,,05/23/1950,43.690374000,-79.383288000,01-14-2017,16436,366
135, MOUNT PLEASANT RD ,, MOORE AVE ,,02/15/1957,43.693603800,-79.384621200,01-14-2017,14138,237
136, MOUNT PLEASANT RD ,, MERTON ST ,,09/12/1948,43.698204600,-79.386448000,01-17-2017,19066,744
137, MOUNT PLEASANT RD ,, DAVISVILLE AVE ,,09/28/1948,43.700322200,-79.386937000,01-09-2017,20037,2463
138, MOUNT PLEASANT RD ,, MANOR RD E ,,02/17/1957,43.704309900,-79.388524000,03-04-2013,16260,1698
139, MOUNT PLEASANT RD ,, BROADWAY AVE ,,02/16/1953,43.711129000,-79.391181000,01-09-2017,16019,1976
140, MOUNT PLEASANT RD ,, BLYTHWOOD RD ,,08/22/1948,43.717882400,-79.394131000,01-19-2017,17509,381
141, MOUNT PLEASANT RD ,, ST LEONARDS AVE ,,08/14/1966,43.722309900,-79.395694000,01-19-2017,11213,186
142, MOUNT PLEASANT RD ,, LAWRENCE AVE E ,,02/23/1953,43.726237038,-79.396790564,01-16-2017,16832,290
143, KINGSTON RD ,, MORNINGSIDE AVE ,,03/23/1962,43.770604000,-79.186884000,02-27-2016,25440,2070
144, KINGSTON RD ,, LAWRENCE AVE E ,,01/21/1960,43.767655800,-79.189555000,04-20-2016,32159,2590
145, KINGSTON RD ,, GALLOWAY RD ,,01/31/1958,43.762110100,-79.194732700,10-22-2014,23952,850
146, KINGSTON RD ,, GUILDWOOD PKWY , CROMWELL RD ,12/11/1962,43.749649000,-79.205992000,03-25-2010,24763,258
147, KINGSTON RD ,, EGLINTON AVE E ,,05/04/1956,43.743755700,-79.211651000,10-22-2014,26434,306
148, KINGSTON RD ,, MARKHAM RD ,,10/31/1960,43.738817000,-79.217042000,10-22-2014,21905,652
149, KINGSTON RD ,, MCCOWAN RD , CATHEDRAL BLUFFS DR ,12/02/1964,43.725113000,-79.232452000,10-15-2009,29118,1137
150, KINGSTON RD ,, ST CLAIR AVE E , BROOKLAWN AVE ,01/12/1958,43.721858000,-79.236215000,12-14-2016,22911,604
151, KINGSTON RD ,, MIDLAND AVE ,,01/01/1957,43.711111000,-79.248196000,06-24-2010,21013,1644
152, KINGSTON RD ,, SANDOWN AVE ,,01/21/1963,43.708769400,-79.249759000,12-03-2009,22525,701
153, KINGSTON RD ,, CLAREMORE AVE , CLIFFSIDE DR ,01/31/1958,43.703931000,-79.252775000,12-07-2009,20066,394
154, KINGSTON RD ,, BIRCHMOUNT RD ,,06/23/1961,43.693014100,-79.262326000,04-22-2017,13485,286
155, KINGSTON RD ,, BIRCHCLIFF AVE ,,01/31/1958,43.691469000,-79.264762000,11-11-2015,10312,559
156, KINGSTON RD ,, WARDEN AVE ,,01/31/1958,43.687769800,-79.270928000,04-22-2017,14473,700
157, KINGSTON RD ,, FALLINGBROOK RD ,,01/31/1958,43.682270900,-79.279219000,11-11-2015,12928,895
158, KINGSTON RD ,, VICTORIA PARK AVE ,,12/15/1948,43.680807400,-79.284041000,04-22-2017,14869,2506
159, KINGSTON RD ,, BEECH AVE ,,05/03/1953,43.680260400,-79.290700000,12-13-2016,11564,821
160, KINGSTON RD ,, MAIN ST , SOUTHWOOD DR ,12/15/1948,43.678903000,-79.298010000,04-22-2017,16657,1640
161, KINGSTON RD ,, WAVERLEY RD , BROOKSIDE DR ,03/01/1957,43.676950000,-79.304104000,11-11-2015,12652,778
162, KINGSTON RD ,, WOODBINE AVE ,,06/09/1929,43.673940000,-79.307902000,04-22-2017,23556,954
163, KINGSTON RD ,, DUNDAS ST E , DIXON AVE ,03/03/1953,43.669951000,-79.311169000,04-22-2017,11441,1020
164, KINGSTON RD ,, BRIMLEY RD , BRIMLEY RD S ,05/11/1964,43.718239000,-79.240372000,06-28-2010,21729,790
165, CHURCH ST ,, PARK RD ,,08/08/1966,43.672219000,-79.384788000,11-08-2016,10903,2212
166, UNIVERSITY AVE ,, ARMOURY ST ,,09/17/1965,43.653099000,-79.387585000,11-10-2016,23658,7660
167, BAYVIEW AVE ,, NESBITT DR ,,12/17/1959,43.694104000,-79.366284000,05-19-2016,18084,52
168, QUEEN ST E ,, COXWELL AVE ,,10/15/1948,43.666345000,-79.316558000,05-07-2016,9821,2920
169, BAYVIEW AVE ,, MOORE AVE ,,03/15/1960,43.696729800,-79.371732000,01-17-2018,22923,753
170, BAYVIEW AVE ,, MCRAE DR , MERTON ST ,07/27/1962,43.700960000,-79.373324000,12-14-2010,20257,982
171, BAYVIEW AVE ,, MILLWOOD RD ,,03/21/1960,43.704257500,-79.374587000,12-07-2010,18168,2599
172, BAYVIEW AVE ,, MANOR RD E , FLEMING CRES ,09/26/1958,43.706917800,-79.375617000,06-14-2016,13751,2011
173, AVENUE RD ,, EDMUND AVE ,,08/16/1965,43.682571600,-79.399760000,01-22-2014,21764,702
174, QUEEN ST E ,, RIVER ST ,,04/11/1954,43.657400000,-79.356540000,05-22-2014,8869,1047
175, RIVER ST ,, SHUTER ST ,,07/01/1957,43.659502000,-79.357445000,06-16-2008,6776,718
176, GERRARD ST E ,, RIVER ST ,,06/15/1954,43.663687400,-79.359230000,08-03-2016,12274,1068
177, BAYVIEW AVE ,, RIVER ST ,,09/30/1959,43.665881900,-79.357365000,01-19-2011,11198,103
178, DANFORTH AVE ,, SIBLEY AVE ,,04/09/1964,43.690272700,-79.292675000,01-09-2014,11764,1530
179, BAYVIEW AVE ,, BROADWAY AVE ,,05/10/1961,43.713900000,-79.377589000,07-08-2017,16962,1133
180, DUNDAS ST W ,, OSSINGTON AVE ,,04/09/1929,43.649341900,-79.420780000,04-11-2015,11860,7315
181, DUNDAS ST W ,, LANSDOWNE AVE ,,10/14/1948,43.650140500,-79.439714000,04-11-2015,13572,2756
182, DUNDAS ST W ,, DOVERCOURT RD ,,05/16/1955,43.649445700,-79.424738000,03-20-2012,14775,3301
183, DUNDAS ST W ,, BROCK AVE ,,12/17/1952,43.649883400,-79.435598000,04-08-2015,10205,2094
184, YORKLAND RD ,, HERONS HILL WAY , PRIVATE ACCESS ,06/25/1981,43.774412500,-79.337132000,07-16-2012,9900,840
185, JANE ST ,, DUNDAS ST W ,,01/31/1958,43.665693000,-79.491175000,05-07-2016,23158,1243
186, DUNDAS ST W ,, RUNNYMEDE RD ,,10/22/1948,43.665584000,-79.482104000,05-07-2016,18021,1280
187, DUNDAS ST W ,, PACIFIC AVE ,,09/29/1961,43.665437600,-79.468576000,05-10-2016,9675,2789
188, DUNDAS ST W ,, KEELE ST ,,04/07/1928,43.665388100,-79.464561000,05-07-2016,19464,4643
189, BAYVIEW AVE , 265m SOUTH OF , POST RD , PRIVATE ACCESS ,01/13/1978,43.734076900,-79.381419000,05-10-2011,27993,564
190, DUFFERIN ST ,, DUNDAS ST W ,,11/17/1948,43.649623300,-79.431438000,04-11-2015,14442,5244
191, EGLINTON AVE E ,, BELLAMY RD N , PRIVATE ACCESS ,05/18/1965,43.740245000,-79.232044000,03-28-2012,15975,1508
192, EGLINTON AVE E ,, MCCOWAN RD ,,10/28/1966,43.738842400,-79.238405000,03-01-2012,18352,987
193, BAY ST ,, GROSVENOR ST ,,11/21/1966,43.662516500,-79.386370000,07-28-2010,11998,6448
194, ST CLAIR AVE W ,, EARLSCOURT AVE ,,11/17/1966,43.676982000,-79.447423000,08-09-2010,7138,1178
195, DIXON RD ,, CITY VIEW DR , KELFIELD ST ,12/12/1966,43.690225200,-79.577032328,11-29-2016,21314,484
196, DUNDAS ST W ,, BATHURST ST ,,08/27/1953,43.652296000,-79.406015000,04-11-2015,15414,10194
197, GERRARD ST E ,, SACKVILLE ST ,,10/07/1961,43.662597000,-79.364003000,07-22-2009,9592,2707
198, SIMCOE ST ,, ADELAIDE ST W ,,05/13/1960,43.648635400,-79.386558000,08-31-2015,7279,6248
199, KING ST W ,, SIMCOE ST ,,05/13/1960,43.647371000,-79.386050000,05-17-2017,8437,25628
200, BAYVIEW AVE ,, BLYTHWOOD RD , WELLNESS WAY ,01/31/1958,43.720980100,-79.378926000,03-23-2011,24828,765
201, KING ST W ,, BATHURST ST ,,06/15/1928,43.643904000,-79.402670000,09-17-2016,15478,7878
202, VICTORIA PARK AVE ,, CRAIGTON DR , JONESVILLE CRES ,09/08/1984,43.726712000,-79.303485000,01-26-2011,23584,1515
203, LAKE SHORE BLVD E ,, LOWER SHERBOURNE ST ,,02/26/1953,43.646303000,-79.366295000,09-07-2017,13327,952
204, HARBOUR ST ,, YORK ST ,,01/01/1962,43.641006000,-79.380705000,04-21-2009,13737,2168
205, LAKE SHORE BLVD W ,, YORK ST ,,01/01/1958,43.641609300,-79.380953000,08-21-2012,24814,7285
206, LAKE SHORE BLVD E ,, LESLIE ST ,,12/14/1955,43.659109000,-79.328373000,05-27-2013,27371,764
207, LAKE SHORE BLVD E ,, CARLAW AVE ,,06/20/1966,43.655081000,-79.337519000,10-15-2012,31363,624
208, LAKE SHORE BLVD E ,, DON ROADWAY , DON VALLEY PARKWAY N ,11/22/1963,43.651070100,-79.346973000,05-27-2013,10974,41
209, LAKE SHORE BLVD E ,, PARLIAMENT ST ,,10/24/1950,43.647757200,-79.361271000,08-16-2012,15771,601
210, LAKE SHORE BLVD E ,, LOWER JARVIS ST ,,05/05/1950,43.645501000,-79.369794000,08-25-2012,22735,1895
211, YONGE ST ,, LAKE SHORE BLVD W ,,03/15/1932,43.644197000,-79.375860200,09-08-2012,10520,2020
212, LAKE SHORE BLVD W ,, BAY ST ,,03/14/1932,43.643170000,-79.377910000,08-22-2012,17008,13149
213, BAY ST ,, HARBOUR ST ,,03/14/1932,43.642100400,-79.377444000,06-09-2009,18261,7776
214, ADELAIDE ST E ,, PARLIAMENT ST ,,06/11/1964,43.653562000,-79.363581000,07-29-2010,9398,685
215, LAKE SHORE BLVD W ,, SPADINA AVE , LOWER SPADINA AVE ,09/12/1948,43.638474000,-79.392196000,10-06-2012,24526,854
216, LAKE SHORE BLVD W ,, FLEET ST , BATHURST ST ,04/13/1942,43.636444000,-79.399607000,05-27-2013,26327,2277
217, EGLINTON AVE E ,, FALMOUTH AVE , GILDER DR ,08/23/1966,43.735594000,-79.253201000,03-28-2012,20253,1345
218, LAKE SHORE BLVD W ,, BURLINGTON ST ,,05/24/1967,43.617291900,-79.487299000,11-25-2015,8502,1159
219, CHAPLIN CRES ,, ROSELAWN AVE ,,01/01/1967,43.705698200,-79.423936000,06-08-2015,8121,751
220, EGLINTON AVE E ,, FORMAN AVE ,,08/09/1966,43.709205700,-79.386196000,05-24-2011,14649,872
221, LAKE SHORE BLVD W ,, STADIUM RD ,,11/17/1948,43.635866000,-79.401893000,05-26-2011,21335,717
222, LAKE SHORE BLVD W ,, STRACHAN AVE , REMEMBRANCE DR ,07/04/1961,43.634499000,-79.408721000,01-24-2018,25571,163
223, RICHMOND ST E ,, PARLIAMENT ST ,,06/11/1964,43.654548800,-79.363998000,03-12-2012,14745,1642
224, LAKE SHORE BLVD W ,, JAMESON AVE ,,01/10/1947,43.633386500,-79.434586000,10-03-2017,10490,252
225, CHURCH ST ,, CHARLES ST E ,,05/17/1974,43.669426700,-79.382476000,07-28-2011,10905,3660
226, LAKE SHORE BLVD W ,, PARKSIDE DR ,,03/01/1949,43.638362000,-79.453530000,08-13-2013,30083,301
227, QUEENS PARK ,, QUEENS PARK CRES W ,,12/28/1973,43.666059447,-79.393177629,11-10-2016,18591,4063
228, LAKE SHORE BLVD W ,, ELLIS AVE ,,04/15/1957,43.636221700,-79.465271000,10-04-2016,34804,176
229, LAKE SHORE BLVD W ,, WINDERMERE AVE , PRIVATE ACCESS ,12/04/1955,43.635079000,-79.468076000,10-04-2016,37009,263
230, LAKE SHORE BLVD W ,, PARK LAWN RD , MARINE PARADE DR ,01/31/1958,43.623005474,-79.481143355,10-06-2016,18994,1636
231, LAKE SHORE BLVD W ,, SUPERIOR AVE ,,01/31/1958,43.614940300,-79.488612000,11-25-2015,8705,2785
